commit	val_bpb	memory_gb	status	description
df3e588	2.095573	0.0	keep	baseline on M1 Pro; evaluation dominates wall-clock
374a6ec	2.152058	0.0	discard	reduce total batch size to 2**15; faster wall-clock but worse val_bpb
f3d1f58	1.778950	0.0	keep	reduce depth from 4 to 3; much better val_bpb and faster wall-clock
9ff8709	2.174275	0.0	discard	reduce head dimension to 64 at depth 3; worse val_bpb and slower than depth-3 best
1ace239	1.639182	0.0	keep	lower embedding, matrix, and scalar learning rates on depth-3 checkpoint
01726fa	1.696098	0.0	discard	add warmup and less aggressive cooldown on lower-LR checkpoint
564dc82	1.647455	0.0	discard	use short window in first layer; near-best speed but slightly worse val_bpb
b4c3428	1.681401	0.0	discard	lower weight decay to 0.1 on best checkpoint; worse val_bpb with fewer steps
2d5d6f6	1.641244	0.0	discard	lower embedding LR to 0.40 on best checkpoint; nearly tied best but still worse
57dccfc	1.867773	0.0	discard	lower MATRIX_LR from 0.03 to 0.028 on the current best checkpoint
51a945d	1.650867	0.0	discard	lower MATRIX_LR from 0.03 to 0.025 on the current best checkpoint
69a7274	1.641866	0.0	discard	lower SCALAR_LR from 0.35 to 0.30 on the current best checkpoint
36e1830	1.637168	0.0	keep	lower SCALAR_LR from 0.35 to 0.25 on the current best checkpoint
cfc7f96	1.639387	0.0	discard	lower UNEMBEDDING_LR from 0.004 to 0.003 on the current best checkpoint
ee20bf0	1.626630	0.0	keep	raise UNEMBEDDING_LR from 0.004 to 0.005 on the current best checkpoint
0f032e7	1.631628	0.0	discard	lower WEIGHT_DECAY from 0.2 to 0.15 on the current best checkpoint
824597a	1.621708	0.0	keep	set WARMDOWN_RATIO from 0.5 to 0.4 while keeping no warmup and zero final LR
cce4abe	1.623379	0.0	discard	set WARMDOWN_RATIO from 0.4 to 0.35 — more steps at peak LR
e696d53	1.621203	0.0	keep	set WARMDOWN_RATIO from 0.4 to 0.30
21860c4	1.716475	0.0	discard	lower SCALAR_LR from 0.25 to 0.20
26f6e31	1.675572	0.0	discard	lower EMBEDDING_LR from 0.45 to 0.42
6f4b9a5	1.651349	0.0	discard	lower EMBEDDING_LR from 0.45 to 0.40
eb2bbb9	1.878980	0.0	discard	raise UNEMBEDDING_LR from 0.005 to 0.006
